#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0048584	positive regulation of response to stimulus	10	2257	0.9	1.84e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0006950	response to stress	11	3485	0.75	2.42e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0002376	immune system process	10	2481	0.86	4.22e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0009967	positive regulation of signal transduction	9	1654	0.99	4.22e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0032480	negative regulation of type I interferon production	4	45	2.2	4.29e-06	9606.ENSP00000329967,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,MAVS,IKBKE,IRF3
GO:0051240	positive regulation of multicellular organismal process	9	1770	0.96	6.88e-06	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,RELA,MAVS,IRF3
GO:0045087	innate immune response	7	703	1.25	8.00e-06	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,TMEM173,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0032606	type I interferon production	3	9	2.77	9.22e-06	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000471896	TBK1,TMEM173,IRF3
GO:0051707	response to other organism	8	1256	1.05	1.26e-05	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	5	194	1.66	1.35e-05	9606.ENSP00000329967,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,RELA,MAVS,IKBKE,IRF3
GO:0051090	regulation of DNA-binding transcription factor activity	6	437	1.39	1.54e-05	9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980	EP300,ATF2,TMEM173,JUN,RELA,MAVS
GO:0042221	response to chemical	11	4333	0.65	1.77e-05	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0009605	response to external stimulus	9	2310	0.84	5.12e-05	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0010468	regulation of gene expression	11	4813	0.61	5.12e-05	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0051091	positive regulation of DNA-binding transcription factor activity	5	271	1.52	5.71e-05	9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000331288,9606.ENSP00000384273,9606.ENSP00000401980	EP300,ATF2,TMEM173,RELA,MAVS
GO:0001818	negative regulation of cytokine production	5	280	1.5	6.46e-05	9606.ENSP00000329967,9606.ENSP00000369581,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,IFNB1,MAVS,IKBKE,IRF3
GO:1902533	positive regulation of intracellular signal transduction	7	1041	1.08	7.77e-05	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	EP300,TBK1,JUN,RELA,MAVS,IKBKE,IRF3
GO:0032727	positive regulation of interferon-alpha production	3	26	2.31	0.00011	9606.ENSP00000329967,9606.ENSP00000401980,9606.ENSP00000471896	TBK1,MAVS,IRF3
GO:0034097	response to cytokine	7	1101	1.05	0.00011	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,TMEM173,JUN,IFNB1,RELA,IKBKE,IRF3
GO:0002221	pattern recognition receptor signaling pathway	4	125	1.76	0.00012	9606.ENSP00000329967,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,RELA,IKBKE,IRF3
GO:0043620	regulation of DNA-templated transcription in response to stress	4	124	1.76	0.00012	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,JUN,RELA
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	3	30	2.25	0.00015	9606.ENSP00000329967,9606.ENSP00000464030,9606.ENSP00000471896	TBK1,IKBKE,IRF3
GO:0035456	response to interferon-beta	3	31	2.24	0.00016	9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000464030	TMEM173,IFNB1,IKBKE
GO:0032728	positive regulation of interferon-beta production	3	34	2.2	0.00020	9606.ENSP00000329967,9606.ENSP00000401980,9606.ENSP00000471896	TBK1,MAVS,IRF3
GO:0048522	positive regulation of cellular process	11	5579	0.54	0.00020	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0070887	cellular response to chemical stimulus	9	2919	0.74	0.00029	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IRF3
GO:0010033	response to organic substance	9	3011	0.73	0.00036	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0018076	N-terminal peptidyl-lysine acetylation	2	3	3.07	0.00049	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0000122	negative regulation of transcription by RNA polymerase II	6	895	1.08	0.00060	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	CREBBP,EP300,ATF2,JUN,RELA,IRF3
GO:0014070	response to organic cyclic compound	6	911	1.07	0.00065	9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	TMEM173,JUN,IFNB1,RELA,MAVS,IRF3
GO:0050792	regulation of viral process	4	215	1.52	0.00077	9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000401980	EP300,JUN,IFNB1,MAVS
GO:0051716	cellular response to stimulus	11	6489	0.48	0.00087	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0071310	cellular response to organic substance	8	2369	0.78	0.00088	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	EP300,TBK1,TMEM173,JUN,IFNB1,RELA,MAVS,IRF3
GO:0034340	response to type I interferon	3	72	1.87	0.0013	9606.ENSP00000369581,9606.ENSP00000464030,9606.ENSP00000471896	IFNB1,IKBKE,IRF3
GO:0065009	regulation of molecular function	10	4913	0.56	0.0013	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,TMEM173,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0007249	I-kappaB kinase/NF-kappaB signaling	3	74	1.86	0.0014	9606.ENSP00000329967,9606.ENSP00000384273,9606.ENSP00000464030	TBK1,RELA,IKBKE
GO:0033554	cellular response to stress	7	1725	0.86	0.0015	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,ATF2,JUN,RELA,IKBKE,IRF3
GO:1901698	response to nitrogen compound	6	1070	1.0	0.0015	9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	TMEM173,JUN,IFNB1,RELA,MAVS,IRF3
GO:0009617	response to bacterium	5	634	1.15	0.0021	9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	TBK1,JUN,RELA,MAVS,IRF3
GO:1901699	cellular response to nitrogen compound	5	645	1.14	0.0022	9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000471896	TMEM173,IFNB1,RELA,MAVS,IRF3
GO:0051241	negative regulation of multicellular organismal process	6	1231	0.94	0.0031	9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000369581,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	ATF2,TBK1,IFNB1,MAVS,IKBKE,IRF3
GO:0048525	negative regulation of viral process	3	105	1.71	0.0036	9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000401980	JUN,IFNB1,MAVS
GO:0002768	immune response-regulating cell surface receptor signaling pathway	4	346	1.31	0.0040	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,JUN,RELA
GO:0002223	stimulatory C-type lectin receptor signaling pathway	3	111	1.68	0.0041	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000384273	CREBBP,EP300,RELA
GO:0010467	gene expression	7	2056	0.78	0.0042	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000471896	CREBBP,EP300,TBK1,TMEM173,JUN,RELA,IRF3
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	3	118	1.66	0.0046	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266	CREBBP,EP300,JUN
GO:0043923	positive regulation by host of viral transcription	2	17	2.32	0.0059	9606.ENSP00000263253,9606.ENSP00000360266	EP300,JUN
GO:0007221	positive regulation of transcription of Notch receptor target	2	18	2.3	0.0065	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0035994	response to muscle stretch	2	18	2.3	0.0065	9606.ENSP00000360266,9606.ENSP00000384273	JUN,RELA
GO:0018193	peptidyl-amino acid modification	5	867	1.01	0.0074	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000464030	CREBBP,EP300,ATF2,TBK1,IKBKE
GO:0009411	response to UV	3	144	1.57	0.0075	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000384273	CREBBP,EP300,RELA
GO:0009314	response to radiation	4	431	1.22	0.0080	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,JUN,RELA
GO:0035458	cellular response to interferon-beta	2	22	2.21	0.0088	9606.ENSP00000331288,9606.ENSP00000369581	TMEM173,IFNB1
GO:0006915	apoptotic process	5	918	0.99	0.0093	9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000464030,9606.ENSP00000471896	EP300,ATF2,JUN,IKBKE,IRF3
GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	2	23	2.19	0.0094	9606.ENSP00000263253,9606.ENSP00000384273	EP300,RELA
GO:0045321	leukocyte activation	5	929	0.98	0.0096	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000369581	EP300,TBK1,TMEM173,JUN,IFNB1
GO:1903706	regulation of hemopoiesis	4	493	1.16	0.0124	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000369581	CREBBP,EP300,JUN,IFNB1
GO:0007165	signal transduction	9	4876	0.52	0.0129	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980,9606.ENSP00000464030,9606.ENSP00000471896	CREBBP,EP300,TBK1,JUN,IFNB1,RELA,MAVS,IKBKE,IRF3
GO:0010941	regulation of cell death	6	1696	0.8	0.0137	9606.ENSP00000262367,9606.ENSP00000264110,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273	CREBBP,ATF2,TBK1,JUN,IFNB1,RELA
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	2	29	2.09	0.0137	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0071345	cellular response to cytokine stimulus	5	1013	0.94	0.0137	9606.ENSP00000329967,9606.ENSP00000331288,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000471896	TBK1,TMEM173,IFNB1,RELA,IRF3
GO:1904837	beta-catenin-TCF complex assembly	2	29	2.09	0.0137	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0035556	intracellular signal transduction	6	1712	0.79	0.0143	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000464030,9606.ENSP00000471896	EP300,TBK1,JUN,RELA,IKBKE,IRF3
GO:0002230	positive regulation of defense response to virus by host	2	32	2.05	0.0160	9606.ENSP00000331288,9606.ENSP00000401980	TMEM173,MAVS
GO:0098586	cellular response to virus	2	32	2.05	0.0160	9606.ENSP00000464030,9606.ENSP00000471896	IKBKE,IRF3
GO:0044093	positive regulation of molecular function	6	1842	0.76	0.0206	9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000331288,9606.ENSP00000360266,9606.ENSP00000384273,9606.ENSP00000401980	EP300,ATF2,TMEM173,JUN,RELA,MAVS
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	2	39	1.96	0.0222	9606.ENSP00000384273,9606.ENSP00000471896	RELA,IRF3
GO:0031399	regulation of protein modification process	6	1870	0.76	0.0222	9606.ENSP00000263253,9606.ENSP00000329967,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273,9606.ENSP00000401980	EP300,TBK1,JUN,IFNB1,RELA,MAVS
GO:0009628	response to abiotic stimulus	5	1147	0.89	0.0227	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000384273	CREBBP,EP300,ATF2,JUN,RELA
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	2	40	1.95	0.0230	9606.ENSP00000360266,9606.ENSP00000384273	JUN,RELA
GO:0045637	regulation of myeloid cell differentiation	3	260	1.31	0.0336	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266	CREBBP,EP300,JUN
GO:0045747	positive regulation of Notch signaling pathway	2	50	1.85	0.0344	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0031648	protein destabilization	2	52	1.84	0.0369	9606.ENSP00000262367,9606.ENSP00000263253	CREBBP,EP300
GO:0048511	rhythmic process	3	271	1.29	0.0372	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000360266	CREBBP,EP300,JUN
GO:2000026	regulation of multicellular organismal development	6	2096	0.71	0.0391	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000360266,9606.ENSP00000369581,9606.ENSP00000384273	CREBBP,EP300,ATF2,JUN,IFNB1,RELA
GO:0032757	positive regulation of interleukin-8 production	2	55	1.81	0.0402	9606.ENSP00000384273,9606.ENSP00000401980	RELA,MAVS
GO:0006325	chromatin organization	4	713	1.0	0.0426	9606.ENSP00000262367,9606.ENSP00000263253,9606.ENSP00000264110,9606.ENSP00000384273	CREBBP,EP300,ATF2,RELA
GO:0008637	apoptotic mitochondrial changes	2	57	1.8	0.0426	9606.ENSP00000264110,9606.ENSP00000360266	ATF2,JUN
GO:0097190	apoptotic signaling pathway	3	286	1.27	0.0426	9606.ENSP00000263253,9606.ENSP00000360266,9606.ENSP00000464030	EP300,JUN,IKBKE
GO:0043525	positive regulation of neuron apoptotic process	2	58	1.79	0.0437	9606.ENSP00000264110,9606.ENSP00000360266	ATF2,JUN
GO:0045071	negative regulation of viral genome replication	2	61	1.77	0.0477	9606.ENSP00000369581,9606.ENSP00000401980	IFNB1,MAVS
