#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0003713	transcription coactivator activity	5	316	1.45	0.00014	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000363689,9606.ENSP00000365280	MYOD1,TCF3,EP300,ID3,ID1
GO:0043425	bHLH transcription factor binding	3	28	2.28	0.00016	9606.ENSP00000262965,9606.ENSP00000381382,9606.ENSP00000388940	TCF3,TCF4,TCF12
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5	449	1.3	0.00071	9606.ENSP00000250003,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF4,FOXO3,CREB1,TCF12
GO:0031490	chromatin DNA binding	3	79	1.83	0.0026	9606.ENSP00000250003,9606.ENSP00000263253,9606.ENSP00000385824	MYOD1,EP300,FOXO3
GO:0005515	protein binding	11	7026	0.44	0.0028	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0008013	beta-catenin binding	3	86	1.79	0.0031	9606.ENSP00000263253,9606.ENSP00000381382,9606.ENSP00000385824	EP300,TCF4,FOXO3
GO:0046982	protein heterodimerization activity	4	338	1.32	0.0055	9606.ENSP00000262965,9606.ENSP00000339191,9606.ENSP00000381382,9606.ENSP00000388940	TCF3,CAV1,TCF4,TCF12
GO:0035497	cAMP response element binding	2	14	2.41	0.0066	9606.ENSP00000387699,9606.ENSP00000388940	CREB1,TCF12
GO:0097159	organic cyclic compound binding	10	5916	0.48	0.0096	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,TCF4,FOXO3,CREB1,TCF12
GO:0008022	protein C-terminus binding	3	199	1.43	0.0303	9606.ENSP00000263253,9606.ENSP00000365280,9606.ENSP00000381382	EP300,ID1,TCF4
GO:0042802	identical protein binding	6	1896	0.75	0.0436	9606.ENSP00000262965,9606.ENSP00000339191,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,CAV1,ID1,TCF4,CREB1,TCF12
